direction	referrer	referrer_bucket	target	target_bucket	line	in_tests
in	assets/materials/tile_cursor_opaque.tres	?	addons/exmateria_battlefield/cursor/tile_cursor_opaque.gdshader	Battlefield	6	0
in	assets/materials/tile_overlay.tres	?	addons/exmateria_battlefield/overlay/tile_overlay_mode0.gdshader	Battlefield	6	0
in	assets/scenes/EffectViewer.tscn	assembler	addons/exmateria_battlefield/assembly/MapComposer.gd	Battlefield	5	0
in	assets/scenes/EffectViewer.tscn	assembler	addons/exmateria_battlefield/camera/PlayerCamera.tscn	Battlefield	4	0
in	assets/scenes/EffectViewer.tscn	assembler	addons/exmateria_battlefield/cursor/TileCursor.tscn	Battlefield	6	0
in	assets/scenes/FireCastRepro.tscn	assembler	addons/exmateria_battlefield/assembly/MapComposer.gd	Battlefield	5	0
in	assets/scenes/FireCastRepro.tscn	assembler	addons/exmateria_battlefield/camera/PlayerCamera.tscn	Battlefield	4	0
in	assets/scenes/FireCastRepro.tscn	assembler	addons/exmateria_battlefield/cursor/TileCursor.tscn	Battlefield	6	0
in	assets/scenes/GPUArena.tscn	assembler	addons/exmateria_battlefield/assembly/MapComposer.gd	Battlefield	5	0
in	assets/scenes/GPUArena.tscn	assembler	addons/exmateria_battlefield/camera/PlayerCamera.tscn	Battlefield	4	0
in	assets/scenes/GPUArena.tscn	assembler	addons/exmateria_battlefield/cursor/TileCursor.tscn	Battlefield	6	0
in	assets/scenes/NavigatorMain.tscn	assembler	addons/exmateria_battlefield/assembly/MapComposer.gd	Battlefield	5	0
in	assets/scenes/NavigatorMain.tscn	assembler	addons/exmateria_battlefield/camera/PlayerCamera.tscn	Battlefield	4	0
in	assets/scenes/ProgressionTester.tscn	assembler	addons/exmateria_battlefield/assembly/MapComposer.gd	Battlefield	5	0
in	assets/scenes/ProgressionTester.tscn	assembler	addons/exmateria_battlefield/camera/PlayerCamera.tscn	Battlefield	4	0
in	assets/scenes/ScenarioPlayer.tscn	assembler	addons/exmateria_battlefield/assembly/MapComposer.gd	Battlefield	5	0
in	assets/scenes/ScenarioPlayer.tscn	assembler	addons/exmateria_battlefield/camera/PlayerCamera.tscn	Battlefield	4	0
in	assets/scenes/TrapViewer.tscn	assembler	addons/exmateria_battlefield/assembly/MapComposer.gd	Battlefield	5	0
in	assets/scenes/TrapViewer.tscn	assembler	addons/exmateria_battlefield/camera/PlayerCamera.tscn	Battlefield	4	0
in	assets/scenes/UnitAnimationViewerScene.tscn	assembler	addons/exmateria_battlefield/assembly/MapComposer.gd	Battlefield	5	0
in	assets/scenes/UnitAnimationViewerScene.tscn	assembler	addons/exmateria_battlefield/camera/PlayerCamera.tscn	Battlefield	4	0
in	src/core/Tune.gd	platform	addons/exmateria_battlefield/assembly/MapComposer.gd	Battlefield	226	0
in	src/core/Tune.gd	platform	addons/exmateria_battlefield/camera/PlayerCamera.gd	Battlefield	230	0
in	src/core/Tune.gd	platform	addons/exmateria_battlefield/cursor/TileCursor.gd	Battlefield	230	0
in	src/core/Tune.gd	platform	addons/exmateria_battlefield/overlay/TileOverlayConfig.gd	Battlefield	232	0
in	src/core/Tune.gd	platform	addons/exmateria_battlefield/terrain/SkirtConfig.gd	Battlefield	232	0
in	src/core/Tune.gd	platform	addons/exmateria_battlefield/terrain/SkirtGeometryGenerator.gd	Battlefield	231	0
in	src/effects/PaletteSubsystem.gd	Effects	addons/exmateria_battlefield/texturing/MapIlluminationDDA.gd	Battlefield	25	0
in	src/scenarios/NavigatorMain.gd	assembler	addons/exmateria_battlefield/cursor/TileCursor.tscn	Battlefield	94	0
in	tests/CB91TimingTest.tscn	?	addons/exmateria_battlefield/assembly/MapComposer.gd	Battlefield	5	1
in	tests/CB91TimingTest.tscn	?	addons/exmateria_battlefield/camera/PlayerCamera.tscn	Battlefield	4	1
in	tests/CameraFeelPanelTuneFieldTest.gd	?	addons/exmateria_battlefield/camera/PlayerCamera.gd	Battlefield	12	1
in	tests/CameraFeelTunablesTest.gd	?	addons/exmateria_battlefield/camera/PlayerCamera.tscn	Battlefield	14	1
in	tests/CameraSpinTest.tscn	?	addons/exmateria_battlefield/assembly/MapComposer.gd	Battlefield	5	1
in	tests/CameraSpinTest.tscn	?	addons/exmateria_battlefield/camera/PlayerCamera.tscn	Battlefield	4	1
in	tests/CinematicFacingResolverTest.tscn	?	addons/exmateria_battlefield/assembly/MapComposer.gd	Battlefield	4	1
in	tests/CombatFaithfulPoseTest.tscn	?	addons/exmateria_battlefield/assembly/MapComposer.gd	Battlefield	5	1
in	tests/CombatFaithfulPoseTest.tscn	?	addons/exmateria_battlefield/camera/PlayerCamera.tscn	Battlefield	4	1
in	tests/CursorClutPreviewTest.tscn	?	addons/exmateria_battlefield/cursor/cursor_clut_preview.gdshader	Battlefield	6	1
in	tests/CursorPanelTuneFieldTest.gd	?	addons/exmateria_battlefield/cursor/TileCursor.gd	Battlefield	12	1
in	tests/CursorTunablesTest.gd	?	addons/exmateria_battlefield/cursor/TileCursor.tscn	Battlefield	19	1
in	tests/EffectStudioCameraOwnershipTest.gd	?	addons/exmateria_battlefield/camera/PlayerCamera.tscn	Battlefield	23	1
in	tests/EffectStudioCameraOwnershipTest.gd	?	addons/exmateria_battlefield/cursor/TileCursor.tscn	Battlefield	24	1
in	tests/GPUAOECombatTest.tscn	?	addons/exmateria_battlefield/assembly/MapComposer.gd	Battlefield	5	1
in	tests/GPUAOECombatTest.tscn	?	addons/exmateria_battlefield/camera/PlayerCamera.tscn	Battlefield	4	1
in	tests/GPUAOEHealTest.tscn	?	addons/exmateria_battlefield/assembly/MapComposer.gd	Battlefield	5	1
in	tests/GPUAOEHealTest.tscn	?	addons/exmateria_battlefield/camera/PlayerCamera.tscn	Battlefield	4	1
in	tests/GPUAOETrackingTest.tscn	?	addons/exmateria_battlefield/assembly/MapComposer.gd	Battlefield	5	1
in	tests/GPUAOETrackingTest.tscn	?	addons/exmateria_battlefield/camera/PlayerCamera.tscn	Battlefield	4	1
in	tests/GPUArenaTest.tscn	?	addons/exmateria_battlefield/assembly/MapComposer.gd	Battlefield	5	1
in	tests/GPUArenaTest.tscn	?	addons/exmateria_battlefield/camera/PlayerCamera.tscn	Battlefield	4	1
