src	dst	kind	source	disposition	lines	anchors
assets/scenes/PlayerCamera.tscn	addons/exmateria_battlefield/camera/PlayerCamera.tscn	scene	scene (#561 dec. 4 — no census can see it)	move	39	
assets/scenes/TileCursor.tscn	addons/exmateria_battlefield/cursor/TileCursor.tscn	scene	scene (#561 dec. 4 — no census can see it)	move	8	
assets/shaders/black_unlit.gdshader	addons/exmateria_battlefield/terrain/black_unlit.gdshader	shader	census	move	35	
assets/shaders/cursor_clut_preview.gdshader	addons/exmateria_battlefield/cursor/cursor_clut_preview.gdshader	shader	census	returned	24	
assets/shaders/cursor_fold.gdshaderinc	addons/exmateria_battlefield/cursor/cursor_fold.gdshaderinc	shader	census	move	66	Display Space Blend Fold
assets/shaders/cursor_fold_add.gdshader	addons/exmateria_battlefield/cursor/cursor_fold_add.gdshader	shader	census	move	7	
assets/shaders/cursor_fold_mix.gdshader	addons/exmateria_battlefield/cursor/cursor_fold_mix.gdshader	shader	census	move	7	
assets/shaders/cursor_fold_sub.gdshader	addons/exmateria_battlefield/cursor/cursor_fold_sub.gdshader	shader	census	move	7	
assets/shaders/fft_visible_angles.gdshaderinc	addons/exmateria_battlefield/terrain/fft_visible_angles.gdshaderinc	shader	census	move	65	
assets/shaders/grid_overlay.gdshader	addons/exmateria_battlefield/debug/grid_overlay.gdshader	shader	census	move	27	
assets/shaders/indexed_color.gdshader	addons/exmateria_battlefield/texturing/indexed_color.gdshader	shader	census	move	340	Color Tint Luma Modes;Display Space Blend Fold;Map Tint;Scenario Camera Framing
assets/shaders/screen_background.gdshader	addons/exmateria_battlefield/camera/screen_background.gdshader	shader	census	move	41	Background Opcode
assets/shaders/tile_cursor.gdshaderinc	addons/exmateria_battlefield/cursor/tile_cursor.gdshaderinc	shader	census	move	79	
assets/shaders/tile_cursor_opaque.gdshader	addons/exmateria_battlefield/cursor/tile_cursor_opaque.gdshader	shader	census	move	16	
assets/shaders/tile_decal_fold.gdshader	addons/exmateria_battlefield/overlay/tile_decal_fold.gdshader	shader	census	move	43	
assets/shaders/tile_overlay.gdshaderinc	addons/exmateria_battlefield/overlay/tile_overlay.gdshaderinc	shader	census	move	128	Display Space Blend Fold;Tile Overlay
assets/shaders/tile_overlay_mode0.gdshader	addons/exmateria_battlefield/overlay/tile_overlay_mode0.gdshader	shader	census	move	22	
assets/shaders/tile_overlay_opaque.gdshader	addons/exmateria_battlefield/overlay/tile_overlay_opaque.gdshader	shader	census	move	26	
src/core/MapIlluminationDDA.gd	addons/exmateria_battlefield/texturing/MapIlluminationDDA.gd	script	census	move	131	Combat Color Appliers;Map Tint
src/debug/DeadzoneBoxOverlay.gd	addons/exmateria_battlefield/camera/DeadzoneBoxOverlay.gd	script	census	move	34	
src/debug/MapGridOverlay.gd	addons/exmateria_battlefield/debug/MapGridOverlay.gd	script	census	move	143	GTE World-to-Screen Transform
src/effects/TileCursorCompositor.gd	addons/exmateria_battlefield/cursor/TileCursorCompositor.gd	script	census	move	105	
src/effects/TileOverlayColor.gd	addons/exmateria_battlefield/overlay/TileOverlayColor.gd	script	arm 1 (booked Effects; not in the pass-5 census)	move	61	
src/effects/TileOverlayCompositor.gd	addons/exmateria_battlefield/overlay/TileOverlayCompositor.gd	script	census	move	198	
